contig_id,cluster_id
k141_46029,9
k141_41698,6
k141_11148,19
k141_37313,21
k141_19860,19
k141_39469,9
k141_6798,17
k141_15518,21
k141_41700,10
k141_17660,10
k141_251,8
k141_37316,9
k141_30768,9
k141_32987,20
k141_6802,6
k141_48206,9
k141_43898,8
k141_13374,8
k141_22062,2
k141_2403,9
k141_28609,11
k141_253,10
k141_50376,21
k141_17662,19
k141_26410,10
k141_37321,19
k141_4572,17
k141_48210,21
k141_43901,10
k141_6806,10
k141_50378,8
k141_35135,10
k141_259,9
k141_46041,9
k141_6807,20
k141_17663,9
k141_13382,10
k141_4574,10
k141_50379,9
k141_41716,21
k141_19873,10
k141_48216,10
k141_28616,10
k141_15528,21
k141_37325,10
k141_17664,17
k141_2414,8
k141_39492,19
k141_24250,20
k141_32992,17
k141_263,19
k141_6813,18
k141_26419,5
k141_19875,21
k141_17666,20
k141_43911,0
k141_46047,9
k141_32995,0
k141_11171,19
k141_24254,0
k141_4583,19
k141_46049,9
k141_269,19
k141_50391,19
k141_41722,9
k141_15538,19
k141_8908,20
k141_30793,11
k141_48225,19
k141_13386,10
k141_24257,2
k141_37333,7
k141_8909,17
k141_30794,0
k141_35154,6
k141_50392,7
k141_6820,9
k141_39505,21
k141_11178,9
k141_2430,19
k141_46055,17
k141_28633,20
k141_33001,2
k141_24261,19
k141_41725,21
k141_37335,10
k141_13393,0
k141_48226,9
k141_35157,17
k141_26435,9
k141_15548,19
k141_28635,21
k141_19894,19
k141_46058,21
k141_37338,2
k141_26438,20
k141_11185,10
k141_4594,21
k141_46059,2
k141_24265,20
k141_48230,19
k141_11186,20
k141_19897,2
k141_33008,10
k141_285,2
k141_6830,21
k141_15553,21
k141_13399,8
k141_11187,8
k141_28640,10
k141_33009,10
k141_43935,21
k141_48234,8
k141_26443,21
k141_46064,9
k141_22103,10
k141_41735,21
k141_2445,19
k141_288,10
k141_6834,10
k141_35170,20
k141_4603,17
k141_41736,20
k141_11190,17
k141_33016,8
k141_30820,19
k141_24276,10
k141_46070,9
k141_15563,19
k141_37347,21
k141_33017,10
k141_50416,10
k141_11192,21
k141_22111,8
k141_26447,10
k141_19907,10
k141_39529,11
k141_46071,19
k141_4611,10
k141_33018,9
k141_22112,8
k141_48243,20
k141_2459,20
k141_50418,10
k141_37348,20
k141_13417,6
k141_43951,17
k141_39532,21
k141_8925,8
k141_35180,9
k141_11195,10
k141_39533,20
k141_48247,19
k141_2460,21
k141_15569,17
k141_46075,8
k141_19916,19
k141_41748,20
k141_35181,20
k141_13423,2
k141_28664,10
k141_2461,10
k141_46076,19
k141_43954,9
k141_11196,8
k141_48250,9
k141_15572,6
k141_4625,10
k141_41750,9
k141_35186,0
k141_30837,19
k141_24297,17
k141_46079,8
k141_48251,10
k141_22117,21
k141_39541,21
k141_37360,8
k141_6857,5
k141_41754,10
k141_309,21
k141_15578,20
k141_30842,9
k141_19921,20
k141_43961,20
k141_24299,20
k141_22123,9
k141_2473,8
k141_33037,10
k141_15582,20
k141_17694,21
k141_30847,17
k141_2474,10
k141_43963,10
k141_39552,8
k141_316,9
k141_8932,10
k141_28670,11
k141_17696,0
k141_19928,20
k141_43966,2
k141_2477,19
k141_13446,19
k141_35202,10
k141_33042,9
k141_26481,21
k141_22131,20
k141_11213,0
k141_41765,20
k141_39555,19
k141_24309,0
k141_13448,19
k141_8933,10
k141_37379,10
k141_33043,10
k141_30849,10
k141_35205,0
k141_19929,21
k141_37380,18
k141_46102,20
k141_4643,10
k141_6874,20
k141_11216,6
k141_19930,8
k141_28679,10
k141_30850,19
k141_33045,2
k141_50453,9
k141_327,19
k141_22134,21
k141_35210,21
k141_46106,20
k141_41773,10
k141_35211,8
k141_8936,21
k141_6880,21
k141_13456,9
k141_17708,10
k141_50456,20
k141_2493,9
k141_15605,2
k141_28682,10
k141_41775,6
k141_43982,20
k141_15606,19
k141_39568,10
k141_50458,2
k141_22140,6
k141_26490,10
k141_4653,10
k141_337,2
k141_2498,10
k141_13459,10
k141_37393,10
k141_15607,8
k141_6886,2
k141_50461,17
k141_8939,17
k141_43988,9
k141_11224,10
k141_4658,10
k141_30871,6
k141_46116,20
k141_6889,10
k141_48287,21
k141_28690,10
k141_13462,6
k141_4660,21
k141_30875,19
k141_43993,2
k141_33058,9
k141_15613,8
k141_344,9
k141_26497,19
k141_39576,11
k141_37400,9
k141_22143,10
k141_48291,17
k141_50470,19
k141_19955,20
k141_28694,20
k141_15616,10
k141_6894,20
k141_30877,19
k141_41787,9
k141_35227,9
k141_349,10
k141_30878,10
k141_11237,20
k141_24345,19
k141_2512,10
k141_46124,11
k141_19957,17
k141_17724,21
k141_8945,9
k141_44001,10
k141_39584,2
k141_352,8
k141_37405,21
k141_15621,10
k141_2513,9
k141_28704,21
k141_46127,9
k141_35229,20
k141_4664,11
k141_39585,9
k141_26503,11
k141_50479,8
k141_15623,9
k141_37408,2
k141_19959,11
k141_17729,0
k141_13470,11
k141_28709,0
k141_24355,20
k141_37411,9
k141_22155,19
k141_2519,10
k141_30889,0
k141_356,9
k141_41801,21
k141_4670,20
k141_48306,21
k141_50481,17
k141_6910,21
k141_8950,9
k141_26511,17
k141_37413,20
k141_24359,21
k141_11251,19
k141_39594,17
k141_44017,21
k141_22158,10
k141_48308,6
k141_26514,10
k141_33078,20
k141_2520,11
k141_4671,10
k141_11252,21
k141_13478,8
k141_28716,10
k141_48309,19
k141_37417,2
k141_41806,10
k141_19966,21
k141_15636,2
k141_33079,9
k141_35246,6
k141_13479,17
k141_50487,21
k141_26518,9
k141_19968,2
k141_15637,17
k141_41808,17
k141_48310,12
k141_11258,10
k141_39595,10
k141_35248,10
k141_37422,9
k141_2525,19
k141_44026,9
k141_4675,10
k141_26521,2
k141_17742,6
k141_30900,9
k141_6920,2
k141_11259,8
k141_46147,17
k141_19970,20
k141_35251,10
k141_370,10
k141_50489,21
k141_28725,17
k141_24372,21
k141_6921,20
k141_48313,20
k141_11263,10
k141_46150,10
k141_30906,6
k141_26523,8
k141_13491,21
k141_37429,11
k141_22176,8
k141_4680,9
k141_41817,10
k141_374,9
k141_2531,10
k141_46152,0
k141_22178,21
k141_35260,19
k141_6924,10
k141_33093,21
k141_26527,2
k141_24378,10
k141_41822,10
k141_19976,11
k141_13493,21
k141_37433,17
k141_39609,21
k141_28737,9
k141_46153,20
k141_19977,9
k141_17755,8
k141_2539,21
k141_37437,17
k141_381,20
k141_4687,0
k141_11276,10
k141_19978,17
k141_48325,21
k141_13496,10
k141_6931,19
k141_39612,20
k141_28739,9
k141_22186,10
k141_2541,9
k141_41830,6
k141_11277,0
k141_8969,20
k141_26535,6
k141_15661,9
k141_22187,9
k141_4692,20
k141_50511,6
k141_28742,10
k141_44047,11
k141_39617,21
k141_15664,9
k141_6934,20
k141_392,17
k141_46162,21
k141_33111,10
k141_13504,10
k141_24387,14
k141_44050,10
k141_46163,21
k141_395,19
k141_30920,11
k141_6936,8
k141_41841,20
k141_15668,10
k141_2547,11
k141_396,10
k141_8974,10
k141_33116,2
k141_50520,6
k141_48342,10
k141_28751,21
k141_46165,2
k141_41842,8
k141_15671,9
k141_50522,10
k141_17770,2
k141_2549,10
k141_26549,20
k141_13505,11
k141_8975,8
k141_19991,10
k141_39629,10
k141_24395,5
k141_22200,10
k141_35285,10
k141_11295,20
k141_33120,17
k141_6943,10
k141_37461,4
k141_41845,10
k141_50525,8
k141_44063,10
k141_17772,9
k141_48350,21
k141_2555,21
k141_22201,20
k141_6945,21
k141_24398,11
k141_28757,20
k141_26556,21
k141_33121,8
k141_408,9
k141_2557,4
k141_30934,17
k141_46177,10
k141_19997,9
k141_26560,21
k141_17773,6
k141_13512,20
k141_50530,8
k141_11305,9
k141_39637,6
k141_2559,20
k141_22206,17
k141_412,0
k141_37470,21
k141_24402,19
k141_41854,17
k141_6952,9
k141_15691,9
k141_13514,8
k141_30937,10
k141_28765,9
k141_37472,19
k141_415,19
k141_26564,9
k141_24403,19
k141_2563,6
k141_13515,20
k141_8990,9
k141_11313,2
k141_48365,9
k141_50538,10
k141_13517,2
k141_8991,10
k141_24406,2
k141_39647,9
k141_15697,19
k141_4732,6
k141_30944,10
k141_50540,10
k141_22216,10
k141_2565,10
k141_20011,0
k141_35312,19
k141_28772,10
k141_423,21
k141_15700,17
k141_24409,0
k141_4734,17
k141_30947,21
k141_35314,21
k141_425,21
k141_26574,17
k141_11319,10
k141_28774,8
k141_8998,6
k141_30948,10
k141_48374,9
k141_24412,20
k141_13525,21
k141_28775,10
k141_24413,20
k141_50546,19
k141_13526,10
k141_2575,2
k141_33149,10
k141_15707,0
k141_9002,2
k141_50547,17
k141_2576,21
k141_432,5
k141_48377,8
k141_15708,2
k141_30954,10
k141_41879,21
k141_20023,20
k141_44096,2
k141_22231,20
k141_13530,21
k141_28781,8
k141_33151,10
k141_41881,0
k141_48380,19
k141_15711,19
k141_6982,0
k141_24419,10
k141_30958,19
k141_50550,10
k141_37500,10
k141_28785,6
k141_26590,9
k141_39665,9
k141_15712,19
k141_41883,10
k141_9009,17
k141_44103,20
k141_20030,9
k141_35325,21
k141_33152,9
k141_30962,10
k141_35327,19
k141_11338,21
k141_28786,6
k141_15716,5
k141_46217,10
k141_33153,9
k141_30963,20
k141_22242,8
k141_17790,0
k141_41887,10
k141_33154,20
k141_50559,6
k141_28788,10
k141_35330,0
k141_37508,8
k141_26596,10
k141_11339,9
k141_22244,5
k141_41889,2
k141_13545,0
k141_48385,10
k141_30967,6
k141_20037,21
k141_455,20
k141_35333,9
k141_37509,10
k141_24430,8
k141_6997,21
k141_46221,17
k141_41890,17
k141_13546,10
k141_33161,20
k141_48387,20
k141_15724,10
k141_17791,21
k141_26599,10
k141_35334,19
k141_457,10
k141_4751,11
k141_20039,21
k141_11343,21
