contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_21822.concoct_part_0	0.000	0.000	2.238	0.298	0.000	0.000
k141_43631.concoct_part_0	1.670	0.000	0.000	0.648	0.000	0.185
k141_19635.concoct_part_0	0.000	0.000	0.591	0.591	0.000	0.000
k141_30547.concoct_part_0	1.575	0.000	0.000	0.000	0.000	0.000
k141_4368.concoct_part_0	0.000	0.060	3.515	0.056	0.268	0.000
k141_13099.concoct_part_0	0.000	0.000	0.000	2.328	0.000	0.000
k141_10916.concoct_part_0	1.049	0.000	0.000	0.763	0.000	0.000
k141_2188.concoct_part_0	0.000	0.000	1.838	0.000	0.000	0.000
k141_6558.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.627
k141_19.concoct_part_0	1.159	1.046	0.000	0.000	0.000	0.000
k141_26178.concoct_part_0	0.459	1.582	0.000	0.000	0.552	0.142
k141_32725.concoct_part_0	0.000	0.000	0.000	0.000	3.086	0.000
k141_43632.concoct_part_0	0.000	0.000	1.607	0.000	0.000	0.000
k141_13100.concoct_part_0	0.000	0.000	2.511	0.000	0.000	0.000
k141_8730.concoct_part_0	1.668	0.505	0.000	0.000	0.000	0.726
k141_19636.concoct_part_0	2.938	0.000	0.000	0.000	0.337	0.000
k141_32726.concoct_part_0	0.000	0.000	1.720	0.000	0.000	0.000
k141_45808.concoct_part_0	0.000	0.000	0.000	3.133	0.000	0.000
k141_24002.concoct_part_0	0.000	0.000	0.000	4.559	0.000	0.000
k141_17450.concoct_part_0	0.337	3.618	0.000	0.035	1.055	1.190
k141_47986.concoct_part_0	3.126	0.000	0.000	0.126	0.000	0.000
k141_20.concoct_part_0	0.000	0.000	2.382	0.000	0.000	0.000
k141_6559.concoct_part_0	0.744	0.000	0.000	0.000	0.000	0.749
k141_34907.concoct_part_0	0.000	0.000	2.981	0.000	1.156	0.000
k141_15271.concoct_part_0	0.000	0.000	2.320	0.000	0.555	0.000
k141_28365.concoct_part_0	0.000	0.000	4.945	0.000	0.227	0.000
k141_41453.concoct_part_0	0.000	0.000	0.000	2.714	0.000	0.000
k141_2189.concoct_part_0	0.000	0.868	0.000	0.000	1.095	0.000
k141_10917.concoct_part_0	2.526	0.610	0.000	0.074	0.000	0.350
